Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -21.3307     -21.3307       0.0000     0.0
0.1000         -21.3307     -21.3307       0.0000     0.0
0.2000         -21.2824     -21.3266       0.0442   171.0
0.3000         -21.0706     -21.1426       0.0720   278.3
0.4000         -21.0036     -21.1179       0.1143   442.3
0.5000         -20.9520     -21.2111       0.2591  1002.2
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -21.3307     -21.3307       0.0000     0.0
0.1000         -21.3307     -21.3307       0.0000     0.0
0.2000         -21.2824     -21.3266       0.0442   171.0
0.3000         -21.0706     -21.1426       0.0720   278.3
0.4000         -21.0036     -21.1179       0.1143   442.3
0.5000         -20.9520     -21.2111       0.2591  1002.2
0.6000         -20.9134     -21.1726       0.2592  1002.7
0.7000         -20.8950     -21.1913       0.2962  1145.8
0.8000         -20.8785     -21.1237       0.2452   948.4
0.9000         -20.8825     -21.1012       0.2187   846.1
1.0000         -20.8838     -21.1212       0.2373   918.0
